DoF;RMSE_mean;RMSE_std
lateral;0.06176814186966991;0.004919987003469063
longitudinal;0.16503435294973293;0.06253019007126315
vertical;0.09295721576219385;0.025401403807048407
pitch;0.06753454447834477;0.02500842057252277
yaw;0.15248862566618127;0.017939378442571017
roll;0.051305091122614686;0.035443554923036545
