DoF;RMSE_mean;RMSE_std
lateral;0.19507747476448212;0.007347005000460846
longitudinal;0.27259497796516635;0.030800011017797547
vertical;0.09430378158805469;0.04296689436027986
pitch;0.06842576694522101;0.0055892810243294705
yaw;0.07482881753427774;0.007786988133260981
roll;0.049973129251801855;0.006480092999078103
