DoF;RMSE_mean;RMSE_std
lateral;0.08238664143899278;0.0064361921599396755
longitudinal;0.21868322792335068;0.006220495804548678
vertical;0.0938524797561449;0.0342162230953264
pitch;0.048855297060495746;0.019907953350723998
yaw;0.04084906030125065;0.013245576045829977
roll;0.04490587104536951;0.02429225742291562
