DOF,X ( Lat.) / mm,X ( Lat.) / mm,Y (Long.) / mm,Y (Long.) / mm,Z ( Vert.) / mm,Z ( Vert.) / mm,Yaw  / °,Yaw  / °,Pitch / °,Pitch / °,Roll / °,Roll / °
Temp of Heatingpads,RT,32,RT,32,RT,32,RT,32,RT,32,RT,32
IHD: horizontal Axis,0.108 (0.042),0.179 (0.075),0.268 (4.241),0.451 (2.051),0.118 (0.000),0.158 (0.000),0.067 (0.100),0.067 (0.100),0.066 (0.001),0.071 (0.001),0.067 (0.000),0.093 (0.000)
IHD: vertical Axis,0.559 (0.083),0.533 (0.082),0.781 (2.802),0.757 (3.055),0.157 (0.145),0.163 (0.127),0.100 (0.100),0.067 (0.100),0.208 (0.734),0.159 (0.659),0.162 (0.019),0.130 (0.018)
IHD: rotational Axis,0.121 (0.043),0.091 (0.000),0.233 (0.004),0.271 (0.702),0.170 (0.000),0.117 (0.000),0.319 (1.616),0.224 (1.036),0.093 (0.001),0.085 (0.001),0.079 (0.000),0.073 (0.000)
