DoF;RMSE_mean;RMSE_std
lateral;0.318385181486702;0.014912385749387282
longitudinal;0.35704197960181167;0.059085611363305465
vertical;0.11401107291494066;0.05027184877169077
pitch;0.10280384805823138;0.017683135592666568
yaw;0.04499266900686716;0.009637034467772254
roll;0.0799747935192016;0.01266992214133474
