DoF;RMSE_mean;RMSE_std
lateral;0.3233772133168802;0.003998099427973298
longitudinal;0.4171172415070819;0.048293220058113887
vertical;0.07666483595635111;0.006016274439601404
pitch;0.10496567227763963;0.007970426143768125
yaw;0.049856068242064226;0.014728233618743286
roll;0.08622755262959736;0.018758299685402244
